,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
SETTINGS_DELETESAVE_TEXT,CONFIRM YOU REALLY WANT TO DELETE ALL OF YOUR SAVED DATA,CONFIRME QUE DESEJA APAGAR TODOS OS DADOS SALVOS,TA LOCO TEM CTZ Q VAI APAGA TUUUUUDOOOO???,ВЫ ТОЧНО ХОТИТЕ УДАЛИТЬ ФАЙЛ СОХРАНЕНИЯ?,ほんとうに すべてのセーブデータを さくじょしますか?,Spielstand wirklich löschen?,SOUHAITEZ VOUS VRAIMENT EFFACER COMPLETEMENT VOTRE SAUVEGARDE,¿Confirmas que de verdad quieres eliminar TODOS tus datos guardados?,"Potvrď, že chceš opravdu smazat veškerá uložená data",저장된 데이터를 정말 삭제하시겠습니까?,Bevestig je dat je je opgeslagen save data verwijdert.,CONFERMA CHE VUOI DAVVERO ELIMINARE I TUOI SALVATAGGI,確定你真的要刪除所有已儲存之紀錄嗎?,确认删除所有已保存数据吗？,Yakin bahwa kamu benar benar ingin menghapus data permainanmu?,Naprawdę chcesz usunąć swój postęp w grze?,BIZTOS TÖRÖLNI AKAROD AZ ÖSSZES MENTÉST?,ยืนยัน ว่าคุณต้องการลบเซฟเกมทั้งหมดของคุณจริงๆ,GODKJEND OM DU VIL SLETTE EKSISTERENDE DATA,Godkend Du Virkelig Vil Slette Alt Din Gemte Data,Confirmă ştergerea tuturor datelor salvate,Aaargghh??!,בטווווחח???,BEKRÄFTA ATT DU VERKLIGEN VILL RADERA ALL SPARAD DATA,ΕΠΙΒΕΒΑΙΩΣΕ ΟΤΙ ΠΡΑΓΜΑΤΙΚΑ ΘΕΛΕΙΣ ΝΑ ΔΙΑΓΡΑΨΕΙΣ ΟΛΑ ΤΑ ΑΠΟΘΗΚΕΥΜΕΝΑ ΔΕΔΟΜΕΝΑ ΣΟΥ,Bạn Có Thật Sự Muốn Xóa Phần Lưu Của Mình ?,KAYITLI TÜM VERİLERİNİZİ SİLMEK İSTEDİĞİNİZİ ONAYLAYIN,اكِّد أنك تريد حذف كل بيانات التقدم المخزنة,CONFIRMA QUE QUERES MESMO APAGAR TODOS OS DADOS SALVOS,"VAHVISTA, ETTÄ TODELLA HALUAT POISTAA KAIKEN TALLENNETUN TIEDON",Потвърждение за желание за изтриване на цялата запазена дата.,"Patvirtink, kad tikrai nori ištrinti visą savo išsaugotą informaciją"
SETTINGS_PERFORMANCE,VIDEO OPTIONS,OPÇÕES DE VÍDEO,COMOFAS PRA MELHORA EÇES PIXEL POE 3D,НАСТРОЙКИ ГРАФИКИ,ビデオ オプション,Grafikoptionen,VIDEO,Opciones de vídeo,Nastavení videa,비디오 옵션,VIDEO-OPTIES,OPZIONI VIDEO,畫面設定,画面设置,Pengaturan Video,Opcje grafiki,VIDEÓ BEÁLLITÁSOK,ตั้งค่าการแสดงผล,VIDEO INNSTILLINGER,Video-Indstillinger,Opțiuni video,Change the Movie,אפשרויות וידאו,GRAFIK INSTÄLLNINGAR,ΕΠΙΛΟΓΕΣ ΒΙΝΤΕΟ,Tùy Chỉnh Đồ Họa,EKRAN AYARLARI,الرسوميات,OPÇÕES DE VIDEO,VIDEOASETUKSET,Видео настроийки,Vaizdo nustatymai
SETTINGS_GAMEPLAY,GAMEPLAY OPTIONS,OPÇÕES DE JOGO,MIMIMI DEXA MUDA AS OPSAM,НАСТРОЙКИ ИГРЫ,ゲームプレイ オプション,Gameplay-Optionen,OPTIONS DE JEU,Opciones de jugabilidad,Nastavení hry,게임플레이 옵션,GAMEPLAY-OPTIES,OPZIONI GIOCO,操作設定,操作设置,Pengaturan Permainan,Opcje rozgrywki,JÁTÉK BEÁLLITÁSOK,ตั้งค่าการเล่น,SPILL INNSTILLINGER,Spil-Indstillinger,Opțiuni joc,Change the Game,אפשרויות משחק,SPEL INSTÄLLNINGAR,ΕΠΙΛΟΓΕΣ ΠΑΙΧΝΙΔΙΟΥ,Tùy Chỉnh Trò Chơi,OYUN İÇİ AYARLARI,خيارات اللعبة,OPÇÕES DE JOGO,PELIASETUKSET,Игрови настройки,Žaidimo nustatymai
SETTINGS_MAPPING,KEYBOARD MAPPING,CONFIGURAR TECLADO,TECLADO PRO GUEMER,ПРИВЯЗКА КЛАВИШ,キーボード マッピング,Tastenbelegung,CLAVIER,Asignación de teclado,Nastavení kláves,키 설정,CONTROLLER-OPTIES,CONFIGURA TASTI,按鍵設定,按键设置,Pengaturan Tombol,Ustawienia klawiatury,BILLENTYŰ KIOSZTÁS,ตั้งค่าปุ่มกดคีย์บอร์ด,KNAPP KOMBINERING,Tastatur-indstillinger,Configurare taste,Change the 'Board,שינוי מקשים,KNAPP KONFIGURATION,ΚΑΘΟΡΙΣΜΟΣ ΠΛΗΚΤΡΩΝ,Tùy Chỉnh Phím,KLAVYE ATAMA,مفاتيح التحكم,CONFIGURAR TECLADO,NÄPPÄINTEN UUDELLEENOHJAUS,"Клавиетурни настройки
",Mygtuku nustatymai
SETTINGS_LANGUAGE,LANGUAGE,IDIOMA,LINGUAGE,ЯЗЫК,ランゲージ,Sprache,LANGUE,Idioma,Jazyk,언어,TAAL,LINGUA,語言,语言,Pengaturan Bahasa,Ustawienia języka,NYELV,ภาษา,SPRÅK,Sprog,Limbă,Parley?,שפה,SPRÅK,ΓΛΩΣΣΑ,Ngôn Ngữ,DİL,اللغة,LINGUAGEM,KIELI,Език,Kalba
SETTINGS_MASTER,MASTER VOLUME,VOLUME GERAL,BATIDAO GERAL,ОБЩАЯ ГРОМКОСТЬ,マスター ボリューム,Gesamtlautstärke,VOLUME GLOBAL,Volumen del juego,Hlavní hlasitost,마스터 볼륨,HOOFDVOLUME,VOLUME PRINCIPALE,主音量,主音量,Volume Utama,Główna głośność,FŐ HANGERŐ,เสียงหลัก,HOVEDVOLUMET,Hoved-Lyd,Volum,Loudness,קול כללי,VOLYM,ΚΥΡΙΑ ΕΝΤΑΣΗ,Âm Lượng Tổng,ANA SES,مستوى الصوت الرئيسي,VOLUME GERAL,PÄÄ-ÄÄNENVOIMAKKUUS,Основен звук,Garso nustatymai
SETTINGS_SOUND,FX VOLUME,VOLUME EFEITOS,BATIDAO PUTS PUTS,ЭФФЕКТЫ,FX ボリューム,Soundeffekte,VOLUME EFFETS,Volumen de efectos,Hlasitost efektů,FX 볼륨,EFFECTVOLUME,VOLUME EFFETTI,效果音量,音效音量,Volume Suara Efek,Głośność efektów,JÁTÉK HANGEREJE,เสียงเอ็ฟเฟ็ก,EFFEKT VOLUMET,Lyd-effekts-indstillinger,Volum FX,Loudness of Explosions,ווליום אפקטים,FX VOLYM,ΕΝΤΑΣΗ ΕΦΕ,Âm Lượng Hiệu Ứng,EFEKT SESİ,مستوى صوت المؤثرات,VOLUME DOS EFEITOS SONOROS,TEHOSTEÄÄNENVOIMAKKUUS,Звукови настройки,FX garsumas
SETTINGS_MUSIC,MUSIC VOLUME,VOLUME MÚSICA,BATIDAO DAS MELODIA,МУЗЫКА,ミュージック ボリューム,Musik,VOLUME MUSIQUE,Volumen de música,Hlasitost hudby,음악 볼륨,MUZIEKVOLUME,VOLUME MUSICA,背景音樂音量,音乐音量,Volume Musik,Głośność muzyki,ZENE HANGEREJE,เสียงเพลง,MUSIKK VOLUMET,Musik-instillinger,Volum muzică,Loudness of the Symphony,ווליום מוזיקה,MUSIK VOLYM,ΕΝΤΑΣΗ ΜΟΥΣΙΚΗΣ,Âm Lượng Nhạc Nền,MÜZİK SESİ,صوت الموسيقى,VOLUME DA MÚSICA,MUSIIKIN ÄÄNENVOIMAKKUUS,Сила на музиката,Muzikos garsumas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS_LOWPERF1,VIDEO MEMORY LOWER THAN 1 GB - ADVANCED EFFECTS DISABLED,PLACA DE VÍDEO NÃO SUPORTADA - EFEITOS AVANÇADOS DESATIVADOS,MELHORA SEU PC PARÇA KKK MALZ,ВИДЕОКАРТА НЕ ПОДДЕРЖИВАЕТСЯ - ДОП.ЭФФЕКТЫ ОТКЛЮЧЕНЫ,ビデオカードが サポートされていません - かくちょうエフェクトを むこうにします,Grafikkarte wird nicht unterstützt - einige Effekte wurden deaktiviert,CARTE GRAPHIQUE NON SUPPORTEE - EFFETS AVANCES DESACTIVES,Tarjeta de video no soportada - efectos avanzados desactivados,Grafická karta není podporována - pokročilejší efekty vypnuty,지원되지 않는 비디오카드입니다 - 고급효과를 사용할 수 없습니다,VIDEOKAART NIET ONDERSTEUND - GEAVANCEERDE EFFECTEN UITGESCHAKELD,SCHEDA VIDEO NON SUPPORTATA MEMORIA MINORE DI 1GB - EFFETTI AVANZATI DISABILITATI,顯示卡不支援 - 進階效果關閉,显卡不支持 - 高级效果已停用,Video Card tidak memadai - efek tambahan telah ditiadakan,"Twoja karta graficzna nie jest wspierana, dlatego zaawansowane efekty zostały wyłączone",NEM TÁMOGATOTT VIDEÓKÁRTYA - SPECIÁLIS EFFEKTEK KIKAPCSOLVA,ความจำการ์ดจอคุณ ต่ำกว่า 1 GB -เอฟเฟคระดับสูงจะถูกปิดการใช้งาน,GRAFIKK KORTET STØTTES IKKE - AVANSERTE EFFEKTER DEAKTIVERT,Grafikkort er ikke understøttet! Advancerede effekter slået fra!,Placa video nu este suportată - Efectele avansate sunt dezactivate,Video Card Not Supported. Turning Off the Cool Stuff.,כרטיס הוידאו שלך לא נתמך - אפקטים ממתקדמים בוטלו,GRAFIKKORT STÖDS EJ - AVANCERADE EFFEKTER AVAKTIVERAT,ΔΕΝ ΥΠΟΣΤΗΡΙΖΕΤΑΙ Η ΚΑΡΤΑ ΓΡΑΦΙΚΩΝ - ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ ΠΡΟΗΓΜΕΝΩΝ ΕΦΕ,Card Đồ Họa không đủ yêu cầu - Hiệu Ứng Nâng Cao sẽ tắt,EKRAN KARTI DESTEKLENMİYOR - GELİŞTİRİLMİŞ EFEKTLER DEVRE DIŞI,بطاقة الرسوميات غير مدعومة ، عُطِّلت المؤثرات المتقدمة,PLACA DE VIDEO NÃO SUPORTADA - EFEITOS AVANÇADOS DESATIVAODS,VIDEOKORTTI EI TUETTU- EDISTYNEET TEHOSTEET POISTETTU KÄYTÖSTÄ,Видеопаметта е по-малка от 1 GB - По-напредналите ефекти са изключени.,Vaizdo plokštė nepalaikoma - pažangūs efektai išjungti
SETTINGS_LOWPERF2,YOU CAN RE-ENABLE THE EFFECTS AT THE SETTINGS MENU,VOCÊ PODE REATIVAR OS EFEITOS NO MENU DE OPÇÕES,QLQR COISA ME AVISA OU VAI NAS OPSAM D NOVO,ВЫ МОЖЕТЕ ВКЛЮЧИТЬ ЭФФЕКТЫ ПОЗЖЕ,せっていメニューから ゆうこうにできます,Effekte können in den Optionen reaktiviert werden,VOUS POUVEZ REACTIVER LES EFFETS DANS LE MENU DES OPTIONS,Puedes restablecer los efectos en el menú de opciones,Můžeš znovu spustit všechny efekty v menu,설정 메뉴에서 효과를 재활성화시킬수 있습니다.,JE KUNT DE EFFECTEN OPNIEUW INSCHAKELEN IN HET INSTELLINGEN-MENU,PUOI RIATTIVARE GLI EFFETTI DAL MENU OPZIONI,你可於設定功能表中重新設定有關效果,你可以在设置菜单重新启用效果,Kamu bisa menampilkan kembali efek-efek di Pengaturan Menu,Możesz ponownie włączyć lub wyłączyć efekty w menu ustawień,ENGEDÉLYEZHETED AZ EFFEKTEKET A BEÁLLÍTÁSOK MENÜBEN,คุณสามารถเปิดการใช้งานใหม่ได้ใน การตั้งค่าการแสดงผล,DU KAN SLÅ PÅ EFFEKTENE I INNSTILLINGENE,,Poţi reporni efectele în meniul de setări,You Can Turn the Cool Stuff Back On in Settings,אתה יכול להפעיל מחדש את האפקטים המשניים בהגדרות,DU KAN AKTIVERA EFFEKTERNA I INSTÄLLNINGS MENYN,ΜΠΟΡΕΙΣ ΝΑ ΕΠΑΕΝΕΡΓΟΠΟΙΗΣΕΙΣ ΤΑ ΕΦΕ ΣΤΟ ΜΕΝΟΥ ΡΥΘΜΙΣΕΩΝ,Bạn có thể bật lại Hiệu ứng nâng cao ở mục Điều chỉnh,AYARLAR MENÜSÜNDEN EFEKTLERİ TEKRAR AÇABİLİRSİNİZ.,يمكنك تفعيل المؤثرات مرة أخرى في قائمة الإعدادات,"PODES REATIVAR OS EFFEITOS NO MENU ""DEFENIÇÕES""",VOIT OTTAA TEHOSTEET KÄYTTÖÖN ASETUKSISSA,Можеш да активираш по-напредналите ефектите от настройките (не се препоръчва),Gali įjungti efektus nustatymų menu
SETTINGS_LOWPERF3,PRESS ANY KEY TO CONTINUE,APERTE QUALQUER TECLA PARA CONTINUAR,APERTA QLQR COISA VAI,НАЖМИТЕ ЛЮБУЮ КНОПКУ,キーを おしてください,Drücke eine Taste um fortzufahren,APPUYEZ SUR UNE TOUCHE POUR CONTINUER,Pulsa cualquier tecla para continuar,Pro pokračování stiskni libovolnou klávesu,아무키나 눌러주세요.,DRUK OP EEN TOETS OM VERDER TE GAAN,PREMI UN TASTO QUALSIASI PER CONTINUARE,按任意鍵繼續,按任意键继续,Tekan Tombol Apapun Untuk Lanjut,"Wciśnij dowolny klawisz, aby kontynuować",NYOMJ MEG EGY GOMBOT A FOLYTATÁSHOZ,กดปุ่มอะไรก็ได้ เพื่อไปต่อ,TRYKK EN KNAPP FOR Å FORTSETTE,Klik på en hver knap for at fortsætte,Apasă orice tastă pentru a continua,"Push a key, any key!",לחץ על כל מקש להמשיך,TRYCK VALFRI KNAPP FÖR ATT FORTSÄTTA,ΠΑΤΗΣΕ ΟΠΟΙΟΔΗΠΟΤΕ ΠΛΗΚΤΡΟ ΓΙΑ ΝΑ ΣΥΝΕΧΙΣΕΙΣ,Nhấn Bất Kỳ Phím Nào Để Tiếp Tục,DEVAM ETMEK İÇİN HERHANGİ BİR TUŞA BASIN.,اضغط على أي زر لتتابع,PRESSIONA QUALQUER TECLA PARA CONTINUAR,PAINA MITÄ TAHANSA NÄPPÄINTÄ JATKAAKSESI,Натисни бутон за да продължиш,"Spausk bet kurį mygtuką, kad tęsti"
SETTINGS_ON,ON,SIM,VAI,ВКЛ,ON,An,OUI,Activado,Zapnout,켜기,AAN,ACCESI,開,开,Hidup,Aktywne,BE,เปิด,PÅ,Slået til,Pornit,Aye,פעיל,PÅ,ΑΝΟΙΧΤΟ,Bật,AÇIK,مفعل,LIGADO,PÄÄLLÄ,Включено,Įjungta
SETTINGS_OFF,OFF,NÃO,NEM,ВЫКЛ,OFF,Aus,NON,Desactivado,Vypnout,끄기,UIT,SPENTI,關,关,Mati,Nieaktywne,KI,ปิด,AV,Slået fra,Oprit,Nay,כבוי,AV,ΚΛΕΙΣΤΟ,Tắt,KAPALI,موقف,DESLIGADO,POIS PÄÄLTÄ,Изключено,Išjungta
SETTINGS_FULL,FULL,TUDO,ALTAO,МАКС,FULL,Hoch,COMPLET,Máximo,Maximum,최대,VOL,MAX,最高,最高,Maksimal,Najwyższe,TELJES,สูงสุด,,Fuld,Maxim,Full Sail Ahead!,מלא,FULL,ΠΛΗΡΕΣ,Cao,EN YÜKSEK SEVİYE,عالي,MÁXIMO,TÄYSI,Максимум,Aukšta
SETTINGS_LOW,LOW,BAIXO,BAXINHO,МИН,LOW,Niedrig,BAS,Reducido,Minimum,최저,LAAG,MIN,低,低,Minimal,Najniższe,ALACSONY,ต่ำสุด,LAV,Lav,Minim,Get Out the Oars,נמוך,LÅG,ΧΑΜΗΛΟ,Thấp,DÜŞÜK,منخفض,MÍNIMO,MINIMI,Минимум,Žema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMEPLAY_DOUBLETAP,DOUBLE TAP TO DASH,DOIS TOQUES PARA SALTAR,DOIS TAP E AVOA,ДВОЙНОЕ НАЖАТИЕ ДЛЯ РЫВКА,2かいおして ダッシュ,Richtungtaste doppelt tippen um zu sprinten,APPUIE DEUX FOIS POUR FAIRE UN DASH,Pulsa dos veces para deslizarte,Dvojitým zmáčnutím uháníš vpřed,두번 누르면 대쉬합니다,TOETS 2 KEER OM TE SPRINTEN,PREMI 2 VOLTE PER SCATTARE,點擊兩下衝刺,双击冲刺,Tekan 2 Kali Untuk Menghindar,"Wciśnij dwa razy, aby wykonać unik",KATTINTS KETTŐT A KITÉRÉSHEZ,กดปุ่มติดกันสองครั้งอย่างรวดเร็ว เพื่อพุ่งตัวไปข้างหน้า,DOBBEL TASTING FOR Å SPRINTE,Klik to gange for at spurte,Apasă de două ori pentru a te feri,Tap dat Twice to Dash,לחיצה כפולה לזינוק,DUBBELKLICKA FÖR ATT SPRINGA,ΔΙΠΛΟ ΠΑΤΗΜΑ ΠΛΗΚΤΡΟΥ ΓΙΑ ΠΕΤΑΓΜΑ,Nhấp di chuyển 2 lần để lướt tới,SIÇRAMAK İÇİN 2 KERE BASIN,اضغط مرتين للإندفاع,CLIQUE DUPLO PARA DESLIZAR,KAKSOISNAPAUTA SYÖKSYÄKSESI,Двойно натискане за спринт,"Dvigubai paspausk, kad staigiai pajudėtum"
GAMEPLAY_MWHEEL,MOUSE WHEEL TO SWITCH WEAPONS,RODA DO MOUSE TROCA DE ARMA,RODA MOUSE E TROCA O CANHAO,КОЛЕСИКО МЫШИ ДЛЯ СМЕНЫ ОРУЖИЯ,マウスホイールで ぶきを きりかえる,Mit Mausrad Waffe wechseln,MOLETTE POUR CHANGER D'ARME,Usa la rueda del ratón para intercambiar armas,Kolečkem myši vybíráš zbraň,마우스 휠로 무기를 바꿉니다,SCROLL-WIEL OM VAN WAPENS TE WISSELEN,SCORRI LA ROTELLA DEL MOUSE PER CAMBIARE ARMI,滑鼠滾輪切換武器,鼠标滚轮切换武器,Putar Mouse Tengah untuk Mengganti Senjata,"Kręć kółkiem myszy, aby zmieniać bronie",FEGYVERVÁLTÁS A GÖRGŐVEL,เลื่อนลูกกลิ้งของเมาส์เพื่อเปลี่ยนอาวุธ,BYTTE VÅPEN MED SCROLL HJULET,Muse-hjul for at skife våben,Foloseşte rotiţa mouse-ului pentru a schimba armele,Turn the Wheel to Change Your Gun,גלגלת העכבר להחליף נשק,MUSHJUL FÖR ATT BYTA VAPEN,ΓΥΡΙΣΜΑ ΡΟΔΕΛΑΣ ΓΙΑ ΕΝΑΛΛΑΓΗ ΟΠΛΩΝ,Lăn chuột để đổi vũ khí,SİLAH DEĞİŞTİRMEK İÇİN FARE TOPUNU KULLANIN,استعمل عجلة الفأرة لتبديل الأسلحة,RODA DO RATO PARA MUDAR DE ARMA,RULLAA VAIHTAAKSESI ASETTA,Използвай скролът на мишката за да смениш оръжието,"Pelės ratukas, kad pakeistum ginklus"
GAMEPLAY_SCREENSHAKE,SCREEN SHAKE AMOUNT,TREMIDA DE TELA,FRESCURINHA DA TELA KKK,ТРЯСКА ЭКРАНА,がめんの ゆれ,Bild-Rütteln,VIBRATION DE L'ECRAN,Nivel de vibración de la pantalla,Kvalita obrazu,화면 흔들림 정도,HOEVEELHEID SCHERMBEWEGING,MOVIMENTO SCHERMO,螢幕搖晃度,屏幕摇晃幅度,Kuat Getaran pada Layar,Wartość wstrząsów ekranu,KÉPERNYŐ REZGÉSÉNEK ERŐSSÉGE,การสั่นไหวของหน้าจอ,NIVÅ PÅ SKJERM RISTING,Skærm-rysting,Zgâlţâire ecran,Sea Sick?,רעידת מסך,SKÄRMSKAKNINGS MÄNGD,ΤΡΑΝΤΑΓΜΑ ΟΘΟΝΗΣ,Rung màn hình,EKRAN SALLANMA MİKTARI,مقدار اهتزاز الشاشة,QUANTIDADE DE TREMURA,NÄYTÖN RAVISTAMISEN MÄÄRÄ,Тръскане на екрана,
GAMEPLAY_VIBRATION,CONTROLLER VIBRATION,VIBRAÇÃO DE CONTROLE,VIBRADOR,ВИБРАЦИЯ ГЕЙМПАДА,コントローラー しんどう,Controller-Vibration,VIBRATION DE LA MANETTE,Vibración del mando,Vibrace ovladače,컨트룰러 진동,CONTROLLER VIBRATIE,VIBRAZIONE CONTROLLER,控制器 震動,手柄震动,Getaran Controller,Wibracje kontrolera,CONTROLLER REZGÉS,การสั่นไหวขอจอยสติ็ก,VIBRASJON,Controller vibration,Vibraţii controller,Vibrator,רטט שלט,KONTROLL VIBRATION,ΔΟΝΗΣΗ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - chế độ rung,Konsol Titreşimi,اهتزاز يد التحكم,VIBRAÇÃO DO COMANDO,OHJAIMEN VÄRINÄ,Вибрация на контролера,Valdiklio drebėjimas
GAMEPLAY_TARGETING,CONTROLLER AUTO-AIM,MIRA AUTOMÁTICA NO CONTROLE,AIMBOT PROS NOOB,АВТОПРИЦЕЛ НА ГЕЙМПАДЕ,コントローラー オートエイム,Controller-Zielhilfe,VISEE AUTOMATIQUE POUR MANETTE,Auto-apuntado del mando,Auto-zaměřování ovladače,컨트룰러 자동 조준,RICHT AUTOMATISCH MET CONTROLLER,AUTO-MIRA CONTROLLER,控制器 自動瞄準,手柄自动瞄准,Penggunaan Sasaran Otomatis Bagi Controller,Autmatyczne namierzanie w kontrolerze,CONTROLLER-EL VALÓ TELJES AUTOMATA CÉLZÁS,การช่วยการเล็งของจอยสติ็ก,AUTO SIKTE,Controller automatisk sigte,Autoţintire controller,Need Help Aiming with Your Controller?,כיוון שלט אוטומטי,KONTROLL AUTO-SIKTNING,ΑΥΤΟΜΑΤΗ ΣΚΟΠΕΥΣΗ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - tự động nhắm,Konsol OTOMATİK NİŞAN ALMA,التصويب الآلي ليد التحكم,MIRA AUTOMÁTICA DO COMANDO,OHJAIMEN AUTOMAATTITÄHTÄYS,"Самонасочване на стрелба с контролер
",Valdiklio automatinis nuusitaikymas
GAMEPLAY_TARGETING_ASSIST,ASSIST,AJUDA,AJUDINHA,ПОМОЩЬ,アシスト,Zielassistent,ASSISTE,Asistencia,Asistování,어시스트,HULP,AIUTO MIRA,輔助,辅助,Bantuan,Asysty,RÁSEGÍT,สนับสนุน,ASSISTERING,Assistering,Asistenţă,HOW MUCH?!,סיוע,ASSISTANS,ΒΟΗΘΗΤΙΚΗ,Hỗ trợ,ASSİST,إرشاد,AJUDA,AVUSTUS,Асистенция,Pagalba
GAMEPLAY_STICKY,CONTROLLER STICKY AIM,AUXÍLIO DE MIRA NO CONTROLE,HAX ,ПРИЛИПАЮЩАЯ ЦЕЛЬ НА ГЕЙМПАДЕ,コントローラー はりつくエイム,Controller mit Zielhilfe,MANETTE AIDE A LA VISEE,Ayuda al apuntar con el mando,Míra podpory v zaměřování,컨트룰러 스티키 조준,KLEVEND RICHTEN MET CONTROLLER,MIRA PRECISA CONTROLLER,控制器 牽引瞄準,控制器 追踪瞄准,Penggunaan Sasaran Lengket bagi Controller,Celowanie i kontrola,"CONTROLLER ""RAGADÓS"" CÉLZÁS",การช่วยการเล็งของก้านควบคุมในจอยสติ็ก,AUTO FOKUS,Controller klistret sigte,Autofocus,Stick Some Glue on Your Controller?,כיוון דביק בשלט,KONTROLL AUTO-FOKUS,ΠΡΟΣΚΟΛΗΣΗ ΣΤΟΧΟΥ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - nhắm mục tiêu đơn,Konsol YAPIŞKAN NİŞAN ALMA,تثبيت التصويب ليد التحكم (عند الإشارة إلى الهدف),MIRA MAGNÉTICA DO COMANDO,OHJAIMEN TARTTUVA TÄHTÄYS,Контролер прилепващо прицелване,Valdiklio lipnus nusitaikymas
GAMEPLAY_FRIENDLYFIRE,FRIENDLY FIRE,FOGO AMIGO,PALHASSADA,ОГОНЬ ПО СВОИМ,フレンドリー・ファイア,Teambeschuss,tir ami,"Fuego amistoso
",přátelský oheň,친절한 화재,vriendelijk vuur,FUOCO AMICO,誤傷,误伤,FRIENDLY FIRE,FRIENDLY FIRE,FRIENDLY FIRE,ดาเมจเพื่อนร่วมทีม,FRIENDLY FIRE,FRIENDLY FIRE,FRIENDLY FIRE,MUTINY,FRIENDLY FIRE,FRIENDLY FIRE,ΦΙΛΙΚΑ ΠΥΡΑ,FRIENDLY FIRE,Dost Ateşi,FRIENDLY FIRE,FRIENDLY FIRE,YSTÄVIEN TULITUS,ПРИЯТЕЛСКИ ОГЪН,FRIENDLY FIRE
GAMEPLAY_SHOWAMMO,ALWAYS SHOW AMMO BARS,SEMPRE MOSTRAR MUNIÇÕES,MOSTRAR AS BALA,ВСЕГДА ПОКАЗЫВАТЬ ПАТРОНЫ,だんすうを つねに ひょうじ,Munition immer anzeigen,TOUJOURS AFFICHER LES MUNITIONS,Mostrar siempre las barras de munición,Vždy zobrazit stav munice,항상 탄약 상태창 활성,TOON ALTIJD MUNITIEBALKEN,MOSTRA SEMPRE BARRE MUNIZIONI,永遠顯示 子彈數量,始终显示弹药数量条,Selalu Tampilkan Jumlah Amunisi,Zawsze pokazuj ilość amunicji,LŐSZER SÁV FOLYTONOS MUTATÁSA,แสดงแถบแสดงผลของจำนวนกระสุนเสมอ,VIS ALLTID AMMUNISJON,Altid vis ammutionsbarer,Arată întodeauna bările de muniţie,Do ye need the ammo always?,תמיד תראה כמות תחמושת,VISA ALLTID AMMONUTION,ΣΥΝΕΧΗ ΕΜΦΑΝΙΣΗ ΜΠΑΡΑΣ ΠΥΡΟΜΑΧΙΚΩΝ,Luôn luôn hiển thị số lượng đạn,CEPHANE GÖSTERGELERİNİ HEP GÖSTER,عرض مقدار الذخيرة باستمرار,SEMPRE MOSTRAR BARRAS DE MUNIÇÃO,NÄYTÄ AMMUKSET AINA,Винаги показвай амонициите ,Visada rodyti šovinų kiekį
GAMEPLAY_ALLOWFREEZE,FREEZE GAME ON KILL,CONGELAR NAS MORTES,TRAVADINHA GOSTOSA,ЗАМИРАНИЕ ИГРЫ ПРИ УБИЙСТВЕ,キルしたらいちじていし,Bei Kill - Spiel kurz einfrieren,FREEZE LORS DE LA MORT,Congela el juego con cada baja,Zpomalit hru při zabití,FREEZE GAME ON KILL,Freeze game op dood,FERMA IL GIOCO UNA VOLTA MORTO,FREEZE GAME ON KILL,死亡时暂停游戏,FREEZE GAME ON KILL,Zatrzymaj grę przy zabójstwie,FREEZE GAME ON KILL,ชงักเกมเมื่อตาย,FREEZE GAME ON KILL,Frøs spil ved drab,FREEZE GAME ON KILL,FREEZE GAME ON KILL,הקפא משחק בהריגה,FREEZE GAME ON KILL,ΠΑΓΩΜΑ ΠΑΙΧΝΙΔΙΟΥ ΣΕ ΕΞΟΛΟΘΡΕΥΣΗ,FREEZE GAME ON KILL,Düşman öldürmede oyunu dondur,تجميد اللعبة عند الخروج,FREEZE GAME ON KILL,PYSÄYTÄ PELI TAPOSTA,Замръзване на играта при смърт,MIRŠTANT SUSTABDYTI ŽAIDIMĄ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
